id_img,label
10019,happy
10023,happy
10074,happy
10096,happy
10106,sadness
10126,happy
10138,happy
10141,sadness
1020,sadness
10218,happy
10237,sadness
10248,happy
10257,sadness
1027,happy
10273,sadness
10276,sadness
10312,happy
10317,happy
10344,happy
10362,happy
10367,happy
10370,sadness
10432,sadness
10456,happy
10467,sadness
10468,sadness
10480,happy
10528,sadness
10540,happy
10552,sadness
1056,happy
10571,happy
1058,happy
10622,happy
10638,happy
10640,happy
10644,happy
10647,happy
10683,sadness
10703,happy
1074,sadness
10770,sadness
10773,happy
10792,sadness
1081,sadness
10811,sadness
10841,happy
10879,sadness
10903,happy
10935,happy
10956,happy
10992,happy
11019,happy
1111,sadness
11150,sadness
11208,happy
1121,happy
11236,sadness
1130,sadness
11345,happy
11349,sadness
11392,sadness
1141,happy
11500,happy
11508,happy
11516,happy
1152,happy
11530,happy
11549,happy
11552,happy
11558,happy
11573,happy
11575,happy
11588,happy
1159,sadness
11594,sadness
11604,happy
11614,sadness
11637,happy
11646,happy
11658,sadness
11717,sadness
11733,happy
11763,happy
11766,sadness
11772,sadness
11785,sadness
11793,happy
11808,happy
11814,happy
11819,sadness
11835,happy
11842,happy
11850,happy
11885,sadness
11927,happy
12011,sadness
1202,sadness
12024,sadness
12098,sadness
12120,sadness
12129,happy
12141,sadness
12191,happy
12239,happy
12257,sadness
12284,happy
12321,sadness
12329,happy
12349,sadness
12359,sadness
12376,happy
12379,happy
12381,happy
12410,happy
1246,happy
12487,happy
12492,happy
12497,sadness
12557,sadness
12560,sadness
12581,happy
12600,happy
12611,happy
12672,happy
12705,happy
12725,sadness
12729,sadness
12772,happy
12776,happy
12789,sadness
12861,sadness
12904,happy
12936,sadness
12951,happy
12956,happy
12957,happy
13037,sadness
13073,happy
1309,sadness
13105,sadness
13108,sadness
13127,happy
13139,happy
13151,sadness
1316,happy
13204,sadness
13228,happy
13283,happy
13317,happy
13322,happy
1334,happy
13348,happy
13353,happy
13363,happy
13366,happy
13385,happy
1341,happy
13427,happy
13428,happy
13449,sadness
13456,happy
13476,sadness
13502,happy
13526,sadness
13528,sadness
13570,sadness
13584,happy
13590,sadness
13615,sadness
13618,happy
13655,happy
13703,sadness
13706,happy
13715,sadness
13757,sadness
13761,sadness
13792,happy
13802,sadness
1381,sadness
13833,sadness
13848,happy
13874,sadness
13877,sadness
139,happy
13911,happy
13912,happy
13925,happy
1395,sadness
13955,happy
13968,sadness
13969,sadness
13991,sadness
14063,happy
14092,sadness
