id_img,label
10019,sadness
10023,happy
10074,happy
10096,happy
10106,sadness
10126,sadness
10138,happy
10141,sadness
1020,sadness
10218,sadness
10237,sadness
10248,happy
10257,sadness
1027,happy
10273,happy
10276,happy
10312,happy
10317,happy
10344,happy
10362,sadness
10367,happy
10370,sadness
10432,happy
10456,sadness
10467,sadness
10468,sadness
10480,sadness
10528,sadness
10540,happy
10552,sadness
1056,happy
10571,sadness
1058,happy
10622,sadness
10638,sadness
10640,sadness
10644,sadness
10647,happy
10683,sadness
10703,sadness
1074,happy
10770,sadness
10773,sadness
10792,happy
1081,sadness
10811,sadness
10841,sadness
10879,sadness
10903,sadness
10935,happy
10956,sadness
10992,sadness
11019,sadness
1111,happy
11150,happy
11208,happy
1121,sadness
11236,happy
1130,happy
11345,happy
11349,sadness
11392,happy
1141,sadness
11500,sadness
11508,sadness
11516,happy
1152,happy
11530,happy
11549,happy
11552,sadness
11558,happy
11573,happy
11575,sadness
11588,sadness
1159,happy
11594,sadness
11604,sadness
11614,sadness
11637,happy
11646,sadness
11658,sadness
11717,sadness
11733,happy
11763,sadness
11766,sadness
11772,happy
11785,happy
11793,happy
11808,happy
11814,happy
11819,sadness
11835,sadness
11842,sadness
11850,sadness
11885,sadness
11927,happy
12011,happy
1202,happy
12024,sadness
12098,sadness
12120,happy
12129,sadness
12141,happy
12191,happy
12239,happy
12257,sadness
12284,happy
12321,happy
12329,sadness
12349,happy
12359,happy
12376,happy
12379,happy
12381,sadness
12410,sadness
1246,happy
12487,sadness
12492,sadness
12497,sadness
12557,sadness
12560,happy
12581,sadness
12600,happy
12611,sadness
12672,sadness
12705,sadness
12725,happy
12729,sadness
12772,sadness
12776,sadness
12789,sadness
12861,sadness
12904,sadness
12936,happy
12951,sadness
12956,happy
12957,sadness
13037,happy
13073,sadness
1309,happy
13105,happy
13108,sadness
13127,happy
13139,sadness
13151,sadness
1316,happy
13204,happy
13228,sadness
13283,sadness
13317,sadness
13322,happy
1334,sadness
13348,sadness
13353,happy
13363,happy
13366,happy
13385,happy
1341,sadness
13427,sadness
13428,happy
13449,sadness
13456,happy
13476,sadness
13502,sadness
13526,sadness
13528,happy
13570,sadness
13584,sadness
13590,sadness
13615,sadness
13618,sadness
13655,happy
13703,sadness
13706,happy
13715,sadness
13757,happy
13761,happy
13792,happy
13802,happy
1381,sadness
13833,happy
13848,sadness
13874,sadness
13877,sadness
139,happy
13911,sadness
13912,sadness
13925,sadness
1395,sadness
13955,sadness
13968,sadness
13969,sadness
13991,sadness
14063,sadness
14092,happy
141,sadness
14139,sadness
14152,happy
14155,sadness
14169,sadness
14236,sadness
14278,sadness
14282,sadness
14292,sadness
14310,happy
14314,happy
14327,happy
14348,happy
14360,sadness
14371,sadness
14378,happy
14419,sadness
14427,happy
14448,happy
14473,happy
14475,happy
14516,happy
14517,happy
14518,sadness
14546,happy
14586,happy
14593,sadness
14611,sadness
14700,sadness
14730,sadness
14757,sadness
14759,sadness
14792,sadness
14877,happy
1491,sadness
14965,sadness
14973,happy
15039,sadness
15060,sadness
15077,sadness
15099,happy
1512,sadness
15147,happy
15181,sadness
15212,sadness
15216,happy
15221,happy
15229,sadness
15257,sadness
15269,happy
15271,sadness
15292,happy
15310,sadness
15323,happy
15331,happy
15335,sadness
1538,sadness
15397,happy
15400,sadness
15409,sadness
15426,sadness
15432,happy
15438,sadness
15443,happy
15455,happy
15494,sadness
15520,sadness
15523,sadness
15589,sadness
15616,happy
15621,happy
15677,sadness
15708,happy
15758,sadness
15767,happy
15791,sadness
15843,sadness
15854,sadness
15885,sadness
15910,sadness
15966,sadness
15976,happy
15983,happy
16037,happy
16042,sadness
16064,happy
16076,sadness
16081,sadness
16106,sadness
16108,sadness
16120,sadness
16141,sadness
16192,sadness
16198,sadness
16238,sadness
16275,sadness
1628,sadness
16308,happy
16370,happy
16375,happy
1640,sadness
16407,sadness
16423,happy
16444,sadness
16460,sadness
16511,happy
16550,happy
16562,sadness
16583,happy
16588,sadness
16596,sadness
16604,happy
16611,happy
16619,sadness
16633,happy
16649,sadness
16667,sadness
16699,sadness
167,sadness
1670,happy
16700,sadness
16712,happy
16734,sadness
16738,sadness
16751,happy
16752,sadness
16759,sadness
16770,happy
16795,sadness
16799,happy
16809,sadness
16818,sadness
16952,sadness
16967,happy
16971,happy
1699,sadness
17002,sadness
17007,happy
17010,happy
17021,happy
17022,sadness
17032,happy
1704,happy
17041,sadness
1707,happy
17098,happy
17104,happy
17117,sadness
17188,happy
17194,sadness
17207,happy
17220,sadness
17319,sadness
17367,sadness
17381,sadness
17397,sadness
17402,happy
17447,sadness
17462,happy
17470,happy
17484,happy
17485,happy
17494,happy
17498,happy
17506,sadness
17524,sadness
17541,happy
17543,sadness
17552,sadness
17609,happy
17624,happy
17654,sadness
1768,happy
17682,happy
17684,happy
17692,sadness
17694,sadness
17698,happy
1770,happy
17715,happy
17772,happy
17799,happy
17802,happy
17821,happy
1787,sadness
17904,happy
1793,sadness
17936,sadness
18016,happy
18018,sadness
18025,happy
18033,sadness
18037,happy
18080,sadness
18082,sadness
1815,sadness
18165,sadness
18173,sadness
18205,sadness
18226,happy
18237,happy
18245,sadness
18249,sadness
18250,sadness
18256,happy
18259,happy
18297,sadness
18308,sadness
18383,sadness
18405,sadness
18424,sadness
18425,sadness
18442,sadness
18443,sadness
18471,sadness
18476,sadness
18483,sadness
18487,happy
18503,sadness
18505,happy
18531,happy
18541,sadness
18556,sadness
18568,happy
18578,sadness
18655,sadness
18662,sadness
1869,sadness
187,happy
18700,happy
18729,happy
18783,sadness
18822,sadness
18827,sadness
18834,sadness
18835,sadness
18849,sadness
18861,sadness
1887,sadness
18873,happy
18885,happy
18898,sadness
18904,sadness
18930,sadness
18944,sadness
18948,happy
18952,sadness
19008,sadness
19012,sadness
19025,sadness
19056,happy
19062,happy
19063,happy
19074,sadness
19105,happy
19127,sadness
19130,sadness
19132,happy
19137,happy
19148,happy
19160,sadness
19162,happy
1919,happy
192,sadness
1920,sadness
19210,sadness
19245,happy
19263,sadness
19269,sadness
19284,happy
19291,sadness
19317,sadness
19318,sadness
19323,sadness
19346,sadness
19357,sadness
19370,sadness
19377,sadness
19378,sadness
1938,sadness
19398,sadness
19402,sadness
19438,sadness
19449,happy
19478,sadness
19492,happy
19496,happy
19499,sadness
19514,sadness
1953,sadness
19536,sadness
19548,sadness
19568,happy
19589,sadness
19597,sadness
196,happy
19600,sadness
19605,sadness
19668,sadness
19680,sadness
19696,happy
19700,sadness
19709,happy
19711,sadness
1974,sadness
19744,sadness
19747,happy
19748,sadness
19768,happy
19803,sadness
19837,happy
19883,happy
19889,happy
19918,happy
19957,happy
19958,sadness
19962,sadness
19968,happy
2001,sadness
20023,happy
20025,happy
20032,happy
20039,happy
20048,sadness
20091,happy
20111,sadness
2012,happy
20120,happy
20122,happy
20140,sadness
20155,happy
20165,happy
20181,happy
20196,sadness
20208,happy
20213,sadness
20216,happy
20218,sadness
20229,sadness
20239,happy
20252,happy
20267,happy
20285,happy
20296,happy
20318,sadness
20355,sadness
20365,sadness
20371,happy
20377,happy
20412,sadness
20430,happy
20445,happy
20490,sadness
20500,happy
20507,happy
20519,sadness
20547,sadness
20561,sadness
20567,happy
2058,sadness
20580,happy
20595,happy
20616,happy
2064,sadness
20666,happy
20675,sadness
20684,sadness
20685,happy
2069,happy
20745,sadness
20821,happy
20829,sadness
20850,sadness
20857,happy
20865,sadness
20866,happy
20889,sadness
20918,happy
20941,happy
20945,happy
20949,sadness
20958,sadness
20972,happy
20984,happy
20988,happy
20994,sadness
210,sadness
21006,sadness
21027,sadness
21033,sadness
21077,sadness
21097,happy
21098,sadness
21120,sadness
21143,sadness
21177,happy
21185,happy
2120,sadness
21200,sadness
2122,sadness
21235,happy
21292,sadness
213,sadness
21305,sadness
21316,sadness
21348,sadness
2135,sadness
2137,sadness
21376,sadness
21384,sadness
21394,happy
21439,happy
21441,sadness
21460,happy
21473,sadness
21483,sadness
21501,sadness
2152,happy
21524,sadness
21538,sadness
21574,sadness
2159,happy
21593,sadness
21602,sadness
21605,sadness
21618,sadness
21699,sadness
21708,happy
21750,sadness
21778,sadness
21783,happy
21787,sadness
2182,sadness
21825,sadness
21835,sadness
2184,happy
21846,happy
21876,sadness
21899,happy
21927,sadness
21942,happy
21943,happy
21961,happy
21990,sadness
2204,sadness
22056,happy
22064,sadness
22080,happy
22097,sadness
22111,sadness
22138,happy
22140,happy
22150,happy
22154,sadness
22178,sadness
22179,sadness
22191,sadness
22194,sadness
22201,sadness
22247,happy
22289,happy
22290,sadness
22301,sadness
2231,sadness
22340,sadness
22346,sadness
22347,sadness
22351,happy
22380,happy
22388,happy
22395,happy
22424,happy
22459,happy
22466,sadness
22506,sadness
22532,happy
22545,happy
22560,happy
22574,sadness
22600,happy
22604,happy
22612,sadness
22614,happy
22671,sadness
22679,happy
22711,happy
22750,sadness
22754,happy
22763,happy
22778,sadness
22784,sadness
22804,happy
22805,sadness
2282,sadness
22834,sadness
2284,happy
22863,sadness
2287,happy
22894,sadness
22900,sadness
22910,sadness
2293,happy
22935,sadness
22991,sadness
23028,sadness
2305,sadness
2307,sadness
2308,sadness
23096,sadness
23101,sadness
23114,sadness
23122,happy
23170,happy
23238,sadness
2324,happy
