id_img,label
10019,sadness
10023,happy
10074,happy
10096,happy
10106,sadness
10126,happy
10138,happy
10141,sadness
1020,happy
10218,happy
10237,happy
10248,happy
10257,happy
1027,happy
10273,sadness
10276,sadness
10312,happy
10317,happy
10344,sadness
10362,sadness
10367,sadness
10370,sadness
10432,sadness
10456,sadness
10467,sadness
10468,happy
10480,happy
10528,sadness
10540,happy
10552,happy
1056,happy
10571,sadness
1058,happy
10622,sadness
10638,happy
10640,sadness
10644,happy
10647,happy
10683,sadness
10703,happy
1074,sadness
10770,happy
10773,sadness
10792,happy
1081,sadness
10811,sadness
10841,happy
10879,sadness
10903,happy
10935,happy
10956,happy
10992,happy
11019,happy
1111,sadness
11150,happy
11208,sadness
1121,happy
11236,happy
1130,sadness
11345,sadness
11349,happy
11392,sadness
1141,happy
11500,sadness
11508,sadness
11516,happy
1152,sadness
11530,happy
11549,sadness
11552,happy
11558,happy
11573,happy
11575,sadness
11588,sadness
1159,happy
11594,sadness
11604,sadness
11614,happy
11637,sadness
11646,happy
11658,happy
11717,sadness
11733,sadness
11763,happy
11766,sadness
11772,happy
11785,sadness
11793,happy
11808,sadness
11814,sadness
11819,happy
11835,happy
11842,happy
11850,sadness
11885,happy
11927,happy
12011,happy
1202,happy
12024,happy
12098,happy
12120,sadness
12129,happy
12141,happy
12191,sadness
12239,sadness
12257,sadness
12284,happy
12321,happy
12329,sadness
12349,happy
12359,happy
12376,happy
12379,happy
12381,sadness
12410,happy
1246,sadness
12487,happy
12492,happy
12497,sadness
12557,happy
12560,sadness
12581,happy
12600,happy
12611,sadness
12672,happy
12705,sadness
12725,happy
12729,happy
12772,happy
12776,happy
12789,happy
12861,happy
12904,happy
12936,happy
12951,happy
12956,happy
12957,sadness
13037,sadness
13073,happy
1309,happy
13105,sadness
13108,sadness
13127,sadness
13139,happy
13151,sadness
1316,sadness
13204,happy
13228,happy
13283,sadness
13317,sadness
13322,happy
1334,sadness
13348,happy
13353,sadness
13363,happy
13366,sadness
13385,sadness
1341,happy
13427,sadness
13428,sadness
13449,sadness
13456,happy
13476,sadness
13502,sadness
13526,happy
13528,happy
13570,sadness
13584,sadness
13590,sadness
13615,sadness
13618,happy
13655,sadness
13703,sadness
13706,sadness
13715,happy
13757,happy
13761,happy
13792,happy
13802,sadness
1381,sadness
13833,sadness
13848,happy
13874,sadness
13877,happy
139,happy
13911,happy
13912,happy
13925,sadness
1395,sadness
13955,sadness
13968,sadness
13969,happy
13991,happy
14063,happy
14092,sadness
141,sadness
14139,sadness
14152,sadness
14155,happy
14169,sadness
14236,happy
14278,sadness
14282,sadness
14292,sadness
14310,sadness
14314,sadness
14327,sadness
14348,happy
14360,happy
14371,happy
14378,sadness
14419,happy
14427,happy
14448,sadness
14473,happy
14475,happy
14516,happy
14517,sadness
14518,happy
14546,sadness
14586,happy
14593,happy
14611,happy
14700,happy
14730,happy
14757,sadness
14759,sadness
14792,sadness
14877,sadness
1491,happy
14965,happy
14973,happy
15039,happy
15060,happy
15077,sadness
15099,sadness
1512,happy
15147,happy
15181,sadness
15212,sadness
15216,sadness
15221,sadness
15229,happy
15257,sadness
15269,sadness
15271,sadness
15292,happy
15310,happy
15323,sadness
15331,happy
15335,sadness
1538,happy
15397,happy
15400,happy
15409,sadness
15426,happy
15432,happy
15438,sadness
15443,happy
15455,happy
15494,happy
15520,sadness
15523,sadness
15589,sadness
15616,sadness
15621,sadness
15677,sadness
15708,sadness
15758,happy
15767,sadness
15791,happy
15843,happy
15854,sadness
15885,sadness
15910,sadness
15966,happy
15976,happy
15983,happy
16037,happy
16042,sadness
16064,sadness
16076,sadness
16081,happy
16106,sadness
16108,happy
16120,happy
16141,happy
16192,sadness
16198,happy
16238,happy
16275,happy
1628,happy
16308,happy
16370,sadness
16375,happy
1640,happy
16407,happy
16423,sadness
16444,happy
16460,sadness
16511,sadness
16550,happy
16562,sadness
16583,sadness
16588,sadness
16596,happy
16604,happy
16611,happy
16619,sadness
16633,happy
16649,sadness
16667,sadness
16699,sadness
167,sadness
1670,happy
16700,sadness
16712,sadness
16734,happy
16738,sadness
16751,happy
16752,happy
16759,sadness
16770,sadness
16795,happy
16799,happy
16809,happy
16818,sadness
16952,sadness
16967,sadness
16971,happy
1699,sadness
17002,sadness
17007,happy
17010,sadness
17021,sadness
17022,happy
17032,happy
1704,happy
17041,sadness
1707,happy
17098,sadness
17104,sadness
17117,sadness
17188,sadness
17194,happy
17207,sadness
17220,happy
17319,happy
17367,sadness
17381,sadness
17397,happy
17402,sadness
17447,happy
17462,happy
17470,happy
17484,sadness
17485,sadness
17494,sadness
17498,happy
17506,happy
17524,sadness
17541,happy
17543,happy
17552,happy
17609,happy
17624,happy
17654,happy
1768,happy
17682,happy
17684,happy
17692,sadness
17694,sadness
17698,sadness
1770,sadness
17715,sadness
17772,sadness
17799,sadness
17802,sadness
17821,happy
1787,happy
17904,happy
1793,sadness
17936,sadness
18016,sadness
18018,happy
18025,happy
18033,happy
18037,sadness
18080,sadness
18082,sadness
1815,happy
18165,sadness
18173,happy
18205,sadness
18226,sadness
18237,happy
18245,sadness
18249,happy
18250,sadness
18256,sadness
18259,happy
18297,happy
18308,happy
18383,happy
18405,sadness
18424,sadness
18425,sadness
18442,happy
18443,happy
18471,happy
18476,happy
18483,happy
18487,sadness
18503,happy
18505,happy
18531,sadness
18541,sadness
18556,sadness
18568,sadness
18578,happy
18655,sadness
18662,sadness
1869,sadness
187,sadness
18700,happy
18729,sadness
18783,happy
18822,happy
18827,happy
18834,sadness
18835,sadness
18849,happy
18861,sadness
1887,sadness
18873,sadness
18885,sadness
18898,sadness
18904,sadness
18930,happy
18944,sadness
18948,happy
18952,sadness
19008,happy
19012,happy
19025,sadness
19056,happy
19062,happy
19063,sadness
19074,happy
19105,sadness
19127,sadness
19130,sadness
19132,sadness
19137,sadness
19148,sadness
19160,happy
19162,sadness
1919,happy
192,sadness
1920,sadness
19210,sadness
19245,sadness
19263,sadness
19269,sadness
19284,happy
19291,sadness
19317,happy
19318,sadness
19323,sadness
19346,sadness
19357,sadness
19370,happy
19377,happy
19378,sadness
1938,sadness
19398,happy
19402,sadness
19438,sadness
19449,happy
19478,sadness
19492,sadness
19496,happy
19499,happy
19514,sadness
1953,sadness
19536,happy
19548,happy
19568,sadness
19589,happy
19597,happy
196,sadness
19600,happy
19605,sadness
19668,sadness
19680,happy
19696,happy
19700,sadness
19709,happy
19711,sadness
1974,sadness
19744,happy
19747,happy
19748,happy
19768,happy
19803,sadness
19837,happy
19883,sadness
19889,happy
19918,happy
19957,sadness
19958,happy
19962,sadness
19968,sadness
2001,happy
20023,sadness
20025,sadness
20032,sadness
20039,sadness
20048,sadness
20091,sadness
20111,sadness
2012,sadness
20120,happy
20122,sadness
20140,happy
20155,happy
20165,sadness
20181,sadness
20196,happy
20208,happy
20213,sadness
20216,sadness
20218,happy
20229,sadness
20239,sadness
20252,sadness
20267,sadness
20285,sadness
20296,sadness
20318,sadness
20355,sadness
20365,sadness
20371,sadness
20377,sadness
20412,happy
20430,sadness
20445,sadness
20490,happy
20500,happy
20507,happy
20519,happy
20547,happy
20561,sadness
20567,sadness
2058,sadness
20580,sadness
20595,sadness
20616,happy
2064,happy
20666,happy
20675,happy
20684,sadness
20685,sadness
2069,sadness
20745,happy
20821,sadness
20829,happy
20850,happy
20857,happy
20865,happy
20866,happy
20889,happy
20918,sadness
20941,happy
20945,sadness
20949,sadness
20958,happy
20972,sadness
20984,sadness
20988,sadness
20994,happy
210,sadness
21006,sadness
21027,sadness
21033,sadness
21077,sadness
21097,sadness
21098,sadness
21120,happy
21143,happy
21177,happy
21185,happy
2120,happy
21200,sadness
2122,happy
21235,sadness
21292,sadness
213,happy
21305,happy
21316,sadness
21348,happy
2135,sadness
2137,sadness
21376,happy
21384,sadness
21394,happy
21439,sadness
21441,sadness
21460,sadness
21473,happy
21483,sadness
21501,sadness
2152,happy
21524,happy
21538,happy
21574,sadness
2159,happy
21593,happy
21602,happy
21605,sadness
21618,happy
21699,happy
21708,happy
21750,sadness
21778,sadness
21783,happy
21787,happy
2182,happy
21825,sadness
21835,happy
2184,happy
21846,sadness
21876,sadness
21899,sadness
21927,happy
21942,happy
21943,happy
21961,happy
21990,happy
2204,happy
22056,sadness
22064,happy
22080,sadness
22097,sadness
22111,sadness
22138,sadness
22140,sadness
22150,sadness
22154,sadness
22178,sadness
22179,sadness
22191,sadness
22194,happy
22201,sadness
22247,happy
22289,happy
22290,happy
22301,sadness
2231,sadness
22340,sadness
22346,happy
22347,sadness
22351,sadness
22380,happy
22388,sadness
22395,happy
22424,sadness
22459,sadness
22466,sadness
22506,sadness
22532,sadness
22545,sadness
22560,happy
22574,sadness
22600,happy
22604,happy
22612,happy
22614,happy
22671,happy
22679,happy
22711,happy
22750,sadness
22754,sadness
22763,sadness
22778,happy
22784,happy
22804,happy
22805,sadness
2282,happy
22834,sadness
2284,happy
22863,sadness
2287,sadness
22894,happy
22900,happy
22910,happy
2293,happy
22935,happy
22991,happy
23028,happy
2305,sadness
2307,happy
2308,happy
23096,sadness
23101,happy
23114,sadness
23122,happy
23170,happy
23238,happy
2324,happy
2327,sadness
23293,sadness
23319,happy
23320,sadness
23321,happy
23334,happy
23377,happy
23380,sadness
