id_img,label
10019,happy
10023,happy
10074,happy
10096,happy
10106,sadness
10126,happy
10138,happy
10141,happy
1020,sadness
10218,sadness
10237,sadness
10248,happy
10257,happy
1027,sadness
10273,sadness
10276,sadness
10312,happy
10317,sadness
10344,happy
10362,happy
10367,sadness
10370,sadness
10432,happy
10456,happy
10467,sadness
10468,sadness
10480,happy
10528,happy
10540,sadness
10552,sadness
1056,happy
10571,sadness
1058,happy
10622,sadness
10638,sadness
10640,sadness
10644,happy
10647,happy
10683,sadness
10703,happy
1074,sadness
10770,happy
10773,sadness
10792,happy
1081,sadness
10811,sadness
10841,happy
10879,happy
10903,sadness
10935,happy
10956,happy
10992,happy
11019,sadness
1111,sadness
11150,sadness
11208,sadness
1121,sadness
11236,sadness
1130,sadness
11345,sadness
11349,happy
11392,sadness
1141,happy
11500,happy
11508,sadness
11516,sadness
1152,sadness
11530,happy
11549,happy
11552,happy
11558,sadness
11573,sadness
11575,happy
11588,happy
1159,happy
11594,sadness
11604,happy
11614,sadness
11637,sadness
11646,sadness
11658,sadness
11717,happy
11733,happy
11763,sadness
11766,happy
11772,happy
11785,sadness
11793,sadness
11808,happy
11814,happy
11819,sadness
11835,happy
11842,sadness
11850,happy
11885,happy
11927,sadness
12011,sadness
1202,sadness
12024,happy
12098,happy
12120,sadness
12129,sadness
12141,happy
12191,sadness
12239,sadness
12257,happy
12284,sadness
12321,happy
12329,sadness
12349,sadness
12359,happy
12376,sadness
12379,happy
12381,sadness
12410,happy
1246,happy
12487,sadness
12492,happy
12497,happy
12557,happy
12560,sadness
12581,happy
12600,sadness
12611,happy
12672,happy
12705,happy
12725,sadness
12729,happy
12772,happy
12776,happy
12789,happy
12861,sadness
12904,sadness
12936,happy
12951,happy
12956,sadness
12957,happy
13037,sadness
13073,happy
1309,happy
13105,sadness
13108,happy
13127,sadness
13139,sadness
13151,sadness
1316,happy
13204,sadness
13228,sadness
13283,happy
13317,happy
13322,sadness
1334,happy
13348,happy
13353,happy
13363,sadness
13366,sadness
13385,sadness
1341,sadness
13427,happy
13428,happy
13449,sadness
13456,happy
13476,sadness
13502,sadness
13526,sadness
13528,sadness
13570,happy
13584,happy
13590,happy
13615,happy
13618,happy
13655,happy
13703,happy
13706,sadness
13715,happy
13757,sadness
13761,happy
13792,happy
13802,happy
1381,happy
13833,happy
13848,happy
13874,happy
13877,sadness
139,sadness
13911,happy
13912,sadness
13925,happy
1395,happy
13955,sadness
13968,sadness
13969,sadness
13991,happy
