,id_img,paths,label
0,100,data\train\happy\100.jpg,happy
1,10000,data\train\happy\10000.jpg,happy
2,10001,data\train\happy\10001.jpg,happy
3,10005,data\train\happy\10005.jpg,happy
4,10035,data\train\happy\10035.jpg,happy
5,10039,data\train\happy\10039.jpg,happy
6,1004,data\train\happy\1004.jpg,happy
7,10042,data\train\happy\10042.jpg,happy
8,10046,data\train\happy\10046.jpg,happy
9,10050,data\train\happy\10050.jpg,happy
10,1006,data\train\happy\1006.jpg,happy
11,10060,data\train\happy\10060.jpg,happy
12,10066,data\train\happy\10066.jpg,happy
13,10071,data\train\happy\10071.jpg,happy
14,10083,data\train\happy\10083.jpg,happy
15,10092,data\train\happy\10092.jpg,happy
16,10094,data\train\happy\10094.jpg,happy
17,10098,data\train\happy\10098.jpg,happy
18,10102,data\train\happy\10102.jpg,happy
19,10104,data\train\happy\10104.jpg,happy
20,10111,data\train\happy\10111.jpg,happy
21,1012,data\train\happy\1012.jpg,happy
22,10120,data\train\happy\10120.jpg,happy
23,10124,data\train\happy\10124.jpg,happy
24,10135,data\train\happy\10135.jpg,happy
25,10139,data\train\happy\10139.jpg,happy
26,1014,data\train\happy\1014.jpg,happy
27,10140,data\train\happy\10140.jpg,happy
28,10145,data\train\happy\10145.jpg,happy
29,10146,data\train\happy\10146.jpg,happy
30,10151,data\train\happy\10151.jpg,happy
31,10153,data\train\happy\10153.jpg,happy
32,10156,data\train\happy\10156.jpg,happy
33,10157,data\train\happy\10157.jpg,happy
34,10159,data\train\happy\10159.jpg,happy
35,10160,data\train\happy\10160.jpg,happy
36,10161,data\train\happy\10161.jpg,happy
37,10166,data\train\happy\10166.jpg,happy
38,10168,data\train\happy\10168.jpg,happy
39,1017,data\train\happy\1017.jpg,happy
40,10182,data\train\happy\10182.jpg,happy
41,10186,data\train\happy\10186.jpg,happy
42,10187,data\train\happy\10187.jpg,happy
43,10193,data\train\happy\10193.jpg,happy
44,10194,data\train\happy\10194.jpg,happy
45,10198,data\train\happy\10198.jpg,happy
46,10199,data\train\happy\10199.jpg,happy
47,10203,data\train\happy\10203.jpg,happy
48,10224,data\train\happy\10224.jpg,happy
49,10228,data\train\happy\10228.jpg,happy
50,10229,data\train\happy\10229.jpg,happy
51,1023,data\train\happy\1023.jpg,happy
52,10231,data\train\happy\10231.jpg,happy
53,10235,data\train\happy\10235.jpg,happy
54,10243,data\train\happy\10243.jpg,happy
55,10258,data\train\happy\10258.jpg,happy
56,10270,data\train\happy\10270.jpg,happy
57,10272,data\train\happy\10272.jpg,happy
58,10277,data\train\happy\10277.jpg,happy
59,10280,data\train\happy\10280.jpg,happy
60,10283,data\train\happy\10283.jpg,happy
61,10284,data\train\happy\10284.jpg,happy
62,1029,data\train\happy\1029.jpg,happy
63,10290,data\train\happy\10290.jpg,happy
64,10291,data\train\happy\10291.jpg,happy
65,10295,data\train\happy\10295.jpg,happy
66,10297,data\train\happy\10297.jpg,happy
67,10298,data\train\happy\10298.jpg,happy
68,103,data\train\happy\103.jpg,happy
69,10307,data\train\happy\10307.jpg,happy
70,10314,data\train\happy\10314.jpg,happy
71,10318,data\train\happy\10318.jpg,happy
72,1032,data\train\happy\1032.jpg,happy
73,10327,data\train\happy\10327.jpg,happy
74,10331,data\train\happy\10331.jpg,happy
75,10341,data\train\happy\10341.jpg,happy
76,10343,data\train\happy\10343.jpg,happy
77,10345,data\train\happy\10345.jpg,happy
78,10347,data\train\happy\10347.jpg,happy
79,10351,data\train\happy\10351.jpg,happy
80,10366,data\train\happy\10366.jpg,happy
81,10368,data\train\happy\10368.jpg,happy
82,10376,data\train\happy\10376.jpg,happy
83,1038,data\train\happy\1038.jpg,happy
84,10387,data\train\happy\10387.jpg,happy
85,10398,data\train\happy\10398.jpg,happy
86,10400,data\train\happy\10400.jpg,happy
87,10418,data\train\happy\10418.jpg,happy
88,10422,data\train\happy\10422.jpg,happy
89,10424,data\train\happy\10424.jpg,happy
90,10427,data\train\happy\10427.jpg,happy
91,10428,data\train\happy\10428.jpg,happy
92,10436,data\train\happy\10436.jpg,happy
93,10438,data\train\happy\10438.jpg,happy
94,1044,data\train\happy\1044.jpg,happy
95,10447,data\train\happy\10447.jpg,happy
96,10449,data\train\happy\10449.jpg,happy
97,1046,data\train\happy\1046.jpg,happy
98,10464,data\train\happy\10464.jpg,happy
99,10465,data\train\happy\10465.jpg,happy
100,10469,data\train\happy\10469.jpg,happy
101,1047,data\train\happy\1047.jpg,happy
102,10471,data\train\happy\10471.jpg,happy
103,10477,data\train\happy\10477.jpg,happy
104,10478,data\train\happy\10478.jpg,happy
105,1048,data\train\happy\1048.jpg,happy
106,10481,data\train\happy\10481.jpg,happy
107,10483,data\train\happy\10483.jpg,happy
108,10485,data\train\happy\10485.jpg,happy
109,1049,data\train\happy\1049.jpg,happy
110,10492,data\train\happy\10492.jpg,happy
111,105,data\train\happy\105.jpg,happy
112,10502,data\train\happy\10502.jpg,happy
113,10506,data\train\happy\10506.jpg,happy
114,10509,data\train\happy\10509.jpg,happy
