Usuario,Fecha,Polaridad,Contenido
ccifuentes,2011-12-02T00:47:55,"{'value': 'NONE', 'type': 'AGREEMENT'}","Salgo de #VeoTV , que día más largoooooo..."
CarmendelRiego,2011-12-02T00:49:40,"[{'value': 'NEU', 'type': 'DISAGREEMENT'}, {'entity': '@PauladeLasHeras', 'value': 'NEU', 'type': 'DISAGREEMENT'}]",@PauladeLasHeras No te libraras de ayudar me/nos. Besos y gracias
CarmendelRiego,2011-12-02T00:57:40,"[{'value': 'P', 'type': 'AGREEMENT'}, {'entity': '@marodriguezb', 'value': 'P', 'type': 'AGREEMENT'}]",@marodriguezb Gracias MAR
mgilguerrero,2011-12-02T02:33:37,"[{'value': 'N+', 'type': 'AGREEMENT'}, {'entity': 'Sinde', 'value': 'N+', 'type': 'AGREEMENT'}, {'entity': 'SGAE', 'value': 'N+', 'type': 'AGREEMENT'}]","Off pensando en el regalito Sinde, la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento)"
paurubio,2011-12-02T02:59:03,"{'value': 'P+', 'type': 'AGREEMENT'}",Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!
paurubio,2011-12-02T03:07:52,"{'value': 'NONE', 'type': 'AGREEMENT'}","RT @FabHddzC: Si amas a alguien, déjalo libre. Si grita ese hombre es mío era @paurubio..."
Carlos_Latre,2011-12-02T07:00:50,"{'value': 'P+', 'type': 'AGREEMENT'}",Toca @crackoviadeTV3 . Grabación dl especial Navideño...Mari crismas!
Ignacos,2011-12-02T07:41:15,"{'value': 'NONE', 'type': 'AGREEMENT'}",Hoy asisitiré en Madrid a un seminario sobre la Estrategia Española de Seguridad organizado por FAES.
nacho_uriarte,2011-12-02T07:45:05,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'Miguel', 'value': 'P+', 'type': 'AGREEMENT'}, {'entity': '@libertadmontes', 'value': 'P+', 'type': 'AGREEMENT'}]",Buen día todos! Lo primero mandar un abrazo grande a Miguel y a su familia @libertadmontes Hoy podría ser un día para la grandeza humana.
JuanraLucas,2011-12-02T07:54:19,"{'value': 'P+', 'type': 'AGREEMENT'}",Desde el escaño. Todo listo para empezar #endiascomohoy en el Congreso http://t.co/Mu2yIgCb
pedroj_ramirez,2011-12-02T07:58:02,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'Orbyt', 'value': 'P+', 'type': 'AGREEMENT'}]",Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más.
sevillajordi,2011-12-02T08:04:28,"{'value': 'P+', 'type': 'AGREEMENT'}","Un sistema económico q recorta dinero para prestaciones sociales y refuerza con billón y medio d euros a los bancos, no necesita repensarse?"
Carlos_Latre,2011-12-02T08:26:38,"{'value': 'N+', 'type': 'AGREEMENT'}",#programascambiados caca d ajuste
Lissavetzky_M,2011-12-02T08:34:52,"{'value': 'P', 'type': 'AGREEMENT'}",Buen viernes
Carlos_Latre,2011-12-02T08:45:13,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': '@Carlos_Latre', 'value': 'P+', 'type': 'AGREEMENT'}]",“@adri_22_22: #programascambiados es TT gracias a @Carlos_Latre” GRACIAS POR EL BUEN RATO AMIGOS!!;)
PaulaVazquezTV,2011-12-02T08:55:19,"{'value': 'NONE', 'type': 'AGREEMENT'}","Noooooos días! Me he dormidoooooo ya estoy en el taxi camino al aeropuerto, en 7 minutos vestida y maleta hecha. Que habré metido Dios mio!?"
mariviromero,2011-12-02T08:55:53,"{'value': 'NONE', 'type': 'AGREEMENT'}",Vamos a por el viernes (@ Ayuntamiento de Málaga) [pic]: http://t.co/lzDVsoCu
mariviromero,2011-12-02T09:01:48,"[{'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'Universidad', 'value': 'P+', 'type': 'AGREEMENT'}, {'entity': 'De_La_Calle', 'value': 'P+', 'type': 'AGREEMENT'}]",La Universidad confía en De la Calle para encarar sus retos más ambiciosos http://t.co/7dzPPija
