ID_PLAYA;NOMBRE_PLAYA;ID_PROVINCIA;NOMBRE_PROVINCIA;ID_MUNICIPIO;NOMBRE_MUNICIPIO;LATITUD;LONGITUD
0301101;Raco de l'Albir;03;Alacant/Alicante;03011;l'Alfàs del Pi;38º 34' 31";-00º 03' 52"
0301401;Sant Joan / San Juan;03;Alacant/Alicante;03014;Alicante/Alacant;38º 22' 48";-00º 24' 32"
0301408;El Postiguet;03;Alacant/Alicante;03014;Alicante/Alacant;38º 20' 46";-00º 28' 38"
0301410;Saladar;03;Alacant/Alicante;03014;Alicante/Alacant;38º 17' 02";-00º 31' 08"
0301808;La Roda;03;Alacant/Alicante;03018;Altea;38º 36' 29";-00º 02' 16"
0301809;Cap Blanch;03;Alacant/Alicante;03018;Altea;38º 35' 36";-00º 03' 10"
0303102;Llevant / Playa de Levante;03;Alacant/Alicante;03031;Benidorm;38º 32' 12";-00º 07' 05"
0303104;Ponent / Playa de Poniente;03;Alacant/Alicante;03031;Benidorm;38º 32' 14";-00º 08' 55"
0304105;Cala Fustera;03;Alacant/Alicante;03041;Benissa;38º 39' 53";0º 05' 16"
0304704;La Fossa;03;Alacant/Alicante;03047;Calp;38º 38' 46";0º 04' 24"
0304707;Cantal Roig;03;Alacant/Alicante;03047;Calp;38º 37' 54";0º 00' 16"
0304709;Arenal/Bol;03;Alacant/Alicante;03047;Calp;38º 36' 35";-00º 02' 10"
0305013;Carrer la Mar;03;Alacant/Alicante;03050;el Campello;38º 25' 30";-00º 23' 20"
0306301;Les Devesses;03;Alacant/Alicante;03063;Dénia;38º 52' 15";-00º 00' 26"
0306308;Les Boves / Les Marines;03;Alacant/Alicante;03063;Dénia;38º 51' 29";0º 04' 33"
0306310;Marineta Cassiana;03;Alacant/Alicante;03063;Dénia;38º 50' 04";0º 07' 33"
0306502;Arenales del Sol;03;Alacant/Alicante;03065;Elche/Elx;38º 14' 28";-00º 30' 49"
0306505;La Marina / Les Pesqueres - El Rebollo;03;Alacant/Alicante;03065;Elche/Elx;38º 08' 19";-00º 39' 09"
0306901;Finestrat / La Cala;03;Alacant/Alicante;03069;Finestrat;38º 31' 33";-00º 09' 58"
0307605;Centro / La Roqueta;03;Alacant/Alicante;03076;Guardamar del Segura;38º 04' 31";-00º 38' 50"
0308204;El Arenal;03;Alacant/Alicante;03082;Jávea/Xàbia;38º 46' 27";0º 11' 27"
0308211;La Granadella;03;Alacant/Alicante;03082;Jávea/Xàbia;38º 43' 50";0º 11' 52"
0309907;Cala Capitan;03;Alacant/Alicante;03099;Orihuela;37º 55' 19";-00º 43' 18"
0309908;Cala Roig;03;Alacant/Alicante;03099;Orihuela;37º 54' 12";-00º 43' 42"
0309911;Campoamor / Barranco Rubio;03;Alacant/Alicante;03099;Orihuela;37º 53' 46";-00º 45' 06"
0312103;Varador - Calas del Este;03;Alacant/Alicante;03121;Santa Pola;38º 11' 26";-00º 32' 05"
0312108;Tamarit;03;Alacant/Alicante;03121;Santa Pola;38º 11' 17";-00º 35' 49"
0312803;L'Ampolla;03;Alacant/Alicante;03128;Teulada;38º 41' 18";0º 07' 53"
0313302;La Mata;03;Alacant/Alicante;03133;Torrevieja;38º 01' 34";-00º 39' 08"
0313909;Paradis;03;Alacant/Alicante;03139;Villajoyosa/la Vila Joiosa;38º 29' 54";-00º 15' 25"
0390208;Port / El Puerto;03;Alacant/Alicante;03902;Pilar de la Horadada;37º 49' 15";-00º 46' 45"
0400308;Poniente;04;Almería;04003;Adra;36º 44' 39";-03º 11' 06"
0400309;San Nicolás;04;Almería;04003;Adra;36º 44' 40";-03º 04' 01"
0401304;San Miguel/Las Conchas/Zapillo;04;Almería;04013;Almería;36º 49' 46";-02º 27' 10"
0401310;Retamar;04;Almería;04013;Almería;36º 50' 01";-02º 18' 53"
0401313;San Miguel de Cabo de Gata;04;Almería;04013;Almería;36º 47' 35";-02º 15' 21"
0402901;Berja-Balanegra;04;Almería;04029;Berja;36º 44' 51";-02º 54' 38"
0403203;El Lancon;04;Almería;04032;Carboneras;37º 00' 41";-01º 52' 51"
0403204;Los Barquicos/Los Cocones;04;Almería;04032;Carboneras;36º 59' 47";-01º 53' 37"
0403501;Pozo del Esparto;04;Almería;04035;Cuevas del Almanzora;37º 20' 11";-01º 41' 23"
0403510;Villaricos;04;Almería;04035;Cuevas del Almanzora;37º 14' 51";-01º 46' 19"
0404901;Garrucha;04;Almería;04049;Garrucha;37º 10' 45";-01º 49' 13"
0406401;Marina de la Torre;04;Almería;04064;Mojácar;37º 09' 45";-01º 49' 21"
0406403;El Descargador;04;Almería;04064;Mojácar;37º 08' 31";-01º 49' 34"
0406601;Aguamarga;04;Almería;04066;Níjar;36º 56' 24";-01º 56' 01"
0406614;San José;04;Almería;04066;Níjar;36º 45' 37";-02º 06' 26"
0407506;Mar Serena;04;Almería;04075;Pulpí;37º 21' 30";-01º 40' 11"
0407904;La Romanilla;04;Almería;04079;Roquetas de Mar;36º 46' 14";-02º 36' 05"
0407906;Urbanización Roquetas del Mar;04;Almería;04079;Roquetas de Mar;36º 44' 25";-02º 36' 39"
0410002;Puerto del Rey;04;Almería;04100;Vera;37º 12' 10";-01º 48' 34"
0490201;Balerma;04;Almería;04902;El Ejido;36º 43' 20";-02º 52' 39"
0490204;San Miguel-Poniente Almerimar;04;Almería;04902;El Ejido;36º 42' 27";-02º 48' 53"
0490205;Levante Almerimar;04;Almería;04902;El Ejido;36º 41' 23";-02º 46' 41"
0700201;Son Bou;07;Illes Balears;07002;Alaior;39º 54' 10";4º 04' 00"
0700307;Alcúdia;07;Illes Balears;07003;Alcúdia;39º 49' 50";3º 07' 13"
0700506;Sant Elm;07;Illes Balears;07005;Andratx;39º 34' 45";2º 21' 18"
0700513;Camp de Mar;07;Illes Balears;07005;Andratx;39º 32' 19";2º 25' 26"
0701102;Palmira;07;Illes Balears;07011;Calvià;39º 32' 08";2º 27' 31"
0701103;Cala Santa Ponça;07;Illes Balears;07011;Calvià;39º 31' 03";2º 28' 53"
0701105;Magalluf;07;Illes Balears;07011;Calvià;39º 30' 31";2º 32' 14"
0701303;Es Trenc;07;Illes Balears;07013;Campos;39º 20' 49";2º 59' 03"
0701401;Cala Mesquida;07;Illes Balears;07014;Capdepera;39º 44' 45";3º 26' 06"
0701403;Cala Agulla;07;Illes Balears;07014;Capdepera;39º 43' 25";3º 27' 14"
0701406;Sa Font de Sa Cala;07;Illes Balears;07014;Capdepera;39º 40' 00";3º 27' 12"
0701506;Cala Santandria;07;Illes Balears;07015;Ciutadella de Menorca;39º 58' 46";3º 50' 25"
0701507;Cala Blanca;07;Illes Balears;07015;Ciutadella de Menorca;39º 58' 07";3º 50' 11"
0701509;Son Xoriguer;07;Illes Balears;07015;Ciutadella de Menorca;39º 55' 37";3º 50' 35"
0701906;Sa Calobra;07;Illes Balears;07019;Escorca;39º 51' 08";2º 48' 03"
0702201;Cala Marçal;07;Illes Balears;07022;Felanitx;39º 24' 39";3º 15' 34"
0702302;Cala Galdana;07;Illes Balears;07023;Ferreries;39º 56' 19";3º 57' 42"
0702402;Playa de Llevant;07;Illes Balears;07024;Formentera;38º 44' 56";1º 26' 24"
0702413;Playa de Migjorn;07;Illes Balears;07024;Formentera;38º 41' 07";1º 28' 07"
0702414;Cala Saona;07;Illes Balears;07024;Formentera;38º 41' 40";1º 23' 23"
0702601;Talamanca;07;Illes Balears;07026;Eivissa;38º 55' 06";1º 27' 22"
0702603;Ses Figueretes;07;Illes Balears;07026;Eivissa;38º 54' 19";1º 25' 23"
0703209;Es Grau;07;Illes Balears;07032;Maó-Mahón;39º 57' 04";4º 15' 06"
0703211;Cala Mesquida;07;Illes Balears;07032;Maó-Mahón;39º 55' 03";4º 17' 12"
0703301;S'Illot / Cala Moreira;07;Illes Balears;07033;Manacor;39º 34' 01";3º 22' 27"
0703307;Cala Estany;07;Illes Balears;07033;Manacor;39º 31' 04";3º 18' 42"
0703316;Es Domingos Gran;07;Illes Balears;07033;Manacor;39º 27' 34";3º 16' 46"
0703706;Tirant;07;Illes Balears;07037;Es Mercadal;40º 02' 06";4º 06' 05"
0703710;Arenal d'en Castell;07;Illes Balears;07037;Es Mercadal;40º 01' 04";4º 11' 05"
0703901;Muro;07;Illes Balears;07039;Muro;39º 47' 23";3º 07' 50"
