Target,AKA,description ,sector,"organisation size 1,5,10,25,100,300 ",revenue $USD million ,cost,ransom cost,data note,ransom paid,YEAR code,YEAR,month,location,interesting story (edited),interesting story (long),interesting story?,Ransomware,stock symbol,revenue as of,no of employees,Data Note,Source Name,URL,URL 2,URL 3,URL 4,URL 5,#ID
Kaseya,,,tech,300,300,70,70,,unknown,1,2021,JUL,USA,,"Between 800 and 1,500 businesses around the world using Kaseya - tech software created by a Miami-based software maker - were compromised or affected by a massive ransomware cyberattack. ",,REvil,,,,,,https://techcrunch.com/2021/07/05/kaseya-hack-flood-ransomware/,,,,,359
Salvation Army,,,,1,,unknown,,,unknown,1,2021,JUN,UK,,,,unknown,,,,,,https://www.teiss.co.uk/salvation-army-ransomware-attack/,,,,,358
Grupo Fleury,,Brazil's largest diagnostic company,healthcare,10,686,unknown,,,unknown,1,2021,JUN,Brazil,,,,REvil,,,,,,https://www.bleepingcomputer.com/news/security/healthcare-giant-grupo-fleury-hit-by-revil-ransomware-attack/,,,,,357
City of Liege,,,government,1,,unknown,,,unknown,1,2021,JUN,Belgium,,,,Ryuk,,,,,,https://securityaffairs.co/wordpress/119240/malware/city-of-liege-ransomware.html,,,,,356
Lucky Star Casino,,,,1,9,unknown,,,unknown,1,2021,JUN,USA,,,,unknown,,,,,,https://www.casino.org/news/lucky-star-casinos-shutter-following-ransomware-attack/,,,,,355
MRWD,Mountain Regional Water District,,government,1,,unknown,,,refused,1,2021,JUN,USA,,,,unknown,,,,,,https://www.parkrecord.com/news/summit-county/ransomware-attack-hits-water-district/,,,,,354
RBA,Reproductive Biology Associates,American fertility clinic,healthcare,5,22,unknown,,,unknown,1,2021,APR,USA,,,,unknown,,,,,,https://threatpost.com/embryology-data-breach-fertility-clinic-ransomware/167087/,,,,,353
Judson ISD,,,academic,1,,unknown,,,unknown,1,2021,JUN,USA,,,,unknown,,,,,,https://www.expressnews.com/business/article/More-than-26-000-students-educators-impacted-in-16272687.php,,,,,352
Humber River Hospital,,,healthcare,1,,unknown,,,unknown,1,2021,JUN,Canada,,,,unknown,,,,,,https://toronto.ctvnews.ca/toronto-hospital-working-to-restore-systems-after-being-struck-by-cyber-attack-1.5471742,,,,,351
DMACC,Des Moines Area Community College,,academic,1,,unknown,,,refused,1,2021,JUN,USA,,,,unknown,,,,,,https://www.axios.com/des-moines-area-community-colleges-ransomware-attack-lessons-8ba9731c-db45-4041-9eb1-9d6ec20b8a07.html,,,,,350
Town of Freeport,,,government,10,127,0.01,0.01,,refused,1,2021,JUN,USA,,,,Avaddon,,,,,,https://www.pressherald.com/2021/06/15/freeport-town-computer-network-back-up-following-ransomware-attack/,,,,,349
Invenergy,,American renewable energy company,energy,10,734,unknown,,,unknown,1,2021,JUN,USA,,,,REvil,,,,,,https://www.infosecurity-magazine.com/news/revil-claims-responsibility-for/,,,,,348
