S. no.,Name of City,State,Type,Population (2011),Population class
1,Mumbai,Maharashtra,Municipal Corporation / Corporation,"1,35,97,924",Class I
2,Delhi,Delhi,Municipal Corporation / Corporation,"1,10,07,835",Class I
3,Bengaluru,Karnataka,Municipal Corporation / Corporation,"84,25,970",Class I
4,Ahmedabad,Gujarat,Municipal Corporation / Corporation.,"72,08,200",Class I
5,Hyderabad,Telangana,Municipal Corporation / Corporation,"68,09,970",Class I
6,Chennai,Tamil Nadu,Municipal Corporation / Corporation.,"46,81,087",Class I
7,Kolkata,West Bengal,Municipal Corporation / Corporation,"44,86,679",Class I
8,Pune,Maharashtra,Urban Agglomeration,"37,60,636",
9,Jaipur,Rajasthan,Municipal Corporation / Corporation,"30,73,350",Class I
10,Surat,Gujarat,Municipal Corporation / Corporation.,"28,76,374",
11,Lucknow,Uttar Pradesh,Municipal Corporation / Corporation,"28,15,601",Class I
12,Kanpur,Uttar Pradesh,Municipal Corporation / Corporation,"27,67,031",Class I
13,Nagpur,Maharashtra,Municipal Corporation / Corporation,"24,05,421",Class I
14,Patna,Bihar,Municipal Corporation / Corporation.,"22,31,554",
15,Indore,Madhya Pradesh,Municipal Corporation / Corporation.,"19,60,631",Class I
16,Thane,Maharashtra,Municipal Corporation / Corporation.,"18,18,872",Class I
17,Bhopal,Madhya Pradesh,Municipal Corporation / Corporation.,"17,95,648",Class I
18,Visakhapatnam,Andhra Pradesh,Municipal Committee.,"17,30,320",Class I
19,Vadodara,Gujarat,Municipal Committee.,"16,66,703",Class I
20,Firozabad,Uttar Pradesh,Census town.,"16,45,675",Class I
21,Ludhiana,Punjab,Municipal Corporation / Corporation.,"16,13,878",Class I
22,Rajkot,Gujarat,Urban Agglomeration,"16,06,745",
23,Agra,Uttar Pradesh,Municipal Corporation / Corporation.,"15,74,542",Class I
24,Siliguri,West Bengal,Municipal Corporation / Corporation.,"15,72,000",
25,Nashik,Maharashtra,Municipal Corporation / Corporation,"14,86,973",Class I
26,Faridabad,Haryana,Municipal Corporation / Corporation.,"14,04,653",Class I
27,Patiala,Punjab,Municipal Corporation / Corporation.,"13,54,686",
28,Meerut,Uttar Pradesh,Municipal Corporation / Corporation,"13,09,023",Class I
29,Kalyan-Dombivali,Maharashtra,Municipal Corporation / Corporation.,"12,46,381",Class I
30,Vasai-Virar,Maharashtra,Municipal Corporation / Corporation.,"12,21,233",Class I
31,Varanasi,Uttar Pradesh,Municipal Corporation / Corporation.,"12,01,815",Class I
32,Srinagar,Jammu and Kashmir,Urban Agglomeration,"11,92,792",
33,Dhanbad,Jharkhand,Municipal Corporation / Corporation,"11,61,561",Class I
34,Jodhpur,Rajasthan,Municipal Corporation / Corporation,"11,37,000",Class I
35,Amritsar,Punjab,Municipal Corporation / Corporation.,"11,32,761",Class I
36,Raipur,Chhattisgarh,Municipal Committee,"11,22,555",
37,Allahabad,Uttar Pradesh,Municipality.,"11,17,094",Class I
38,Coimbatore,Tamil Nadu,Municipal Corporation / Corporation,"10,61,447",Class I
39,Jabalpur,Madhya Pradesh,Municipal Corporation / Corporation,"10,54,336",Class I
40,Gwalior,Madhya Pradesh,Municipal Corporation / Corporation,"10,53,505",Class I
41,Vijayawada,Andhra Pradesh,Municipal Corporation / Corporation.,"10,48,240",Class I
42,Madurai,Tamil Nadu,Municipal Corporation / Corporation,"10,16,885",Class I
43,Guwahati,Assam,Municipal Corporation / Corporation,"9,63,429",Class I
44,Chandigarh,Chandigarh,Municipal Corporation / Corporation.,"9,60,787",Class I
45,Hubli-Dharwad,Karnataka,Municipal Corporation / Corporation,"9,43,857",Class I
46,Amroha,Uttar Pradesh,Nagar Panchayat.,"8,97,135",Class I
47,Moradabad,Uttar Pradesh,Municipal Corporation / Corporation,"8,89,810",Class I
48,Gurgaon,Haryana,Municipal Corporation / Corporation.,"8,76,824",Class I
49,Aligarh,Uttar Pradesh,Municipalityunicipal Corporation / Corporation.,"8,72,575",Class I
50,Solapur,Maharashtra,Municipal Corporation / Corporation.,"8,72,478",
51,Ranchi,Jharkhand,Urban Agglomeration,"8,63,495",
52,Jalandhar,Punjab,Municipal Corporation / Corporation,"8,62,196",Class I
53,Tiruchirappalli,Tamil Nadu,Municipal Corporation / Corporation.,"8,46,915",Class I
54,Bhubaneswar,Odisha,Municipal Corporation / Corporation,"8,37,737",Class I
55,Salem,Tamil Nadu,Municipal Corporation / Corporation,"8,31,038",Class I
56,Warangal,Telangana,Municipal Corporation / Corporation.,"8,19,429",Class I
57,Mira-Bhayandar,Maharashtra,Municipal Corporation / Corporation,"8,14,655",Class I
58,Thiruvananthapuram,Kerala,Municipal Corporation / Corporation.,"7,52,490",Class I
59,Bhiwandi,Maharashtra,Municipal Corporation / Corporation.,"7,11,329",Class I
