Longitud	Latitud	Info_Lugar
24.3868333	120.6785751	
10.862694	106.8094884	
29.5557396	52.658705	83, Цэнтральная вуліца, Мольча, Чыркавіцкі сельскі Савет, Светлагорскі раён, Provincia de Gómel, Belarús
14.528044	121.004136	
21.8742732	-82.7970498	Coordenadas en el mar u océano
35.5545446	45.445429	República Autónoma de Crimea, Ucrania
26.2300981	50.573701	Великоомелянська сільська громада, Рівненський район, Óblast de Rivne, Ucrania
25.0325657	121.5317085	
26.1901559	50.5453511	Ільпінь, Здолбунівська міська громада, Рівненський район, Óblast de Rivne, 35708, Ucrania
-35.6793612	-71.4374721	Coordenadas en el mar u océano
53.100078249999996	17.903918659834787	Dhofar, Omán
4.5667783	-74.1472274	Coordenadas en el mar u océano
26.2177128	50.5660797	М-06;Н-25, Здолбунівська міська громада, Рівненський район, Óblast de Rivne, 35702, Ucrania
13.7824045	100.6817043	
23.5319935	120.327124	
36.1736946	43.9855204	Coordenadas en el mar u océano
34.5113573	-80.0207483	Coordenadas en el mar u océano
26.1266063	50.5575311	Здолбунівська міська громада, Рівненський район, Óblast de Rivne, Ucrania
-17.9784478	-70.2384002	Coordenadas en el mar u océano
35.5750464	45.4390042	República Autónoma de Crimea, Ucrania
37.5409205	127.1188277	
35.5830456	45.4173654	República Autónoma de Crimea, Ucrania
35.5802193	45.4369701	República Autónoma de Crimea, Ucrania
39.9111266	40.8555772	Güneyce, Arsin, Trabzon, Región del Mar Negro, Turquía
35.5619785	45.4269467	República Autónoma de Crimea, Ucrania
56.3193639	8.1386349	Coordenadas en el mar u océano
26.2288559	50.5723461	Великоомелянська сільська громада, Рівненський район, Óblast de Rivne, Ucrania
51.9383873	40.5177503	Coordenadas en el mar u océano
36.1724427	44.0032056	Coordenadas en el mar u océano
-29.70435595	-53.87430529612854	Coordenadas en el mar u océano
26.1701557	50.6221417	Обарів, Городоцька сільська громада, Рівненський район, Óblast de Rivne, 35307, Ucrania
26.1862861	50.5443723	вулиця Шевченка, Орестів, Здолбунівська міська громада, Рівненський район, Óblast de Rivne, 35708, Ucrania
36.2049798	44.0121956	Coordenadas en el mar u océano
44.6287701	5.0827978	Afder, Somali, Etiopía
36.1890938	44.0136517	Coordenadas en el mar u océano
35.5678245	45.3977088	República Autónoma de Crimea, Ucrania
23.0084219	-82.474317	Coordenadas en el mar u océano
59.755862	5.487319	Coordenadas en el mar u océano
15.9198172	120.4145811	
26.1910195	50.5478676	Ільпінь, Здолбунівська міська громада, Рівненський район, Óblast de Rivne, 35708, Ucrania
21.0348658	105.742967	
26.1901559	50.5453511	Ільпінь, Здолбунівська міська громада, Рівненський район, Óblast de Rivne, 35708, Ucrania
-7.5811823	110.90431	
36.2047665	44.0205375	Coordenadas en el mar u océano
33.350437	-97.181342	
37.5953182	126.7976367	
40.9847138	-72.2277113	Coordenadas en el mar u océano
26.2539507	50.6623618	"ОЗ ""Шпанівський ліцей"", Робітнича вулиця, Шпанів, Шпанівська сільська громада, Рівненський район, Óblast de Rivne, 35301, Ucrania"
12.4027712	-1.5602658	Provincia de Ogooué-Lolo, Gabón
43.9925222	-92.3942754	
55.5173679	21.6194057	محافظة العديد, Provincia Oriental, 36621, Arabia Saudita
14.7166251	121.003274	
54.6264836	24.9500598	أبوظبي, Abu Dabi, Emiratos Árabes Unidos
24.9641428	121.5172018	
35.5922918	45.4121411	República Autónoma de Crimea, Ucrania
25.0123425	121.622324	
48.749041	10.0405767	Laasqoray لاسقرى, Sanaag, Somalia
35.5780212	45.4402888	República Autónoma de Crimea, Ucrania
58.4629551	8.6873089	Coordenadas en el mar u océano
9.1463175	99.5030202	
25.0268441	121.550952	
51.9992522	15.357332	Gobernación de Al Mahrah, Yemen
49.1413699	13.5159685	Coordenadas en el mar u océano
47.9084071	-53.0729517	Coordenadas en el mar u océano
13.0018197	100.0595111	
21.0066203	105.8135929	
36.1599913	44.0264312	Coordenadas en el mar u océano
61.3184305	12.1743114	Coordenadas en el mar u océano
36.1612355	43.9873425	Coordenadas en el mar u océano
37.4676674	127.0458795	
36.1644933	44.0050703	Coordenadas en el mar u océano
36.1687616	43.9834664	Coordenadas en el mar u océano
