66.140.197.69, Longitud: 24.3868333, Latitud: 120.6785751
173.138.202.5, Longitud: 10.862694, Latitud: 106.8094884
89.40.155.80, Longitud: 29.5557396, Latitud: 52.658705
136.162.192.190, Longitud: 14.528044, Latitud: 121.004136
74.217.19.99, Longitud: 21.8742732, Latitud: -82.7970498
204.38.14.40, Longitud: 35.5545446, Latitud: 45.445429
80.83.249.115, Longitud: 26.2300981, Latitud: 50.573701
100.51.83.228, Longitud: 25.0325657, Latitud: 121.5317085
210.78.25.184, Longitud: 26.1901559, Latitud: 50.5453511
171.25.170.142, Longitud: -35.6793612, Latitud: -71.4374721
67.85.153.227, Longitud: 53.100078249999996, Latitud: 17.903918659834787
66.168.251.19, Longitud: 4.5667783, Latitud: -74.1472274
109.72.83.80, Longitud: 26.2177128, Latitud: 50.5660797
31.22.2.145, Longitud: 13.7824045, Latitud: 100.6817043
157.37.227.197, Longitud: 23.5319935, Latitud: 120.327124
101.25.205.108, Longitud: 36.1736946, Latitud: 43.9855204
150.232.13.149, Longitud: 34.5113573, Latitud: -80.0207483
87.82.168.119, Longitud: 26.1266063, Latitud: 50.5575311
192.124.146.24, Longitud: -17.9784478, Latitud: -70.2384002
112.41.77.87, Longitud: 35.5750464, Latitud: 45.4390042
24.43.189.44, Longitud: 37.5409205, Latitud: 127.1188277
142.44.109.129, Longitud: 35.5830456, Latitud: 45.4173654
103.2.116.66, Longitud: 35.5802193, Latitud: 45.4369701
16.146.25.51, Longitud: 39.9111266, Latitud: 40.8555772
101.84.105.148, Longitud: 35.5619785, Latitud: 45.4269467
82.211.232.181, Longitud: 56.3193639, Latitud: 8.1386349
210.40.111.245, Longitud: 26.2288559, Latitud: 50.5723461
87.124.193.212, Longitud: 51.9383873, Latitud: 40.5177503
202.44.195.81, Longitud: 36.1724427, Latitud: 44.0032056
96.198.118.1, Longitud: -29.70435595, Latitud: -53.87430529612854
97.14.204.218, Longitud: 26.1701557, Latitud: 50.6221417
163.253.159.204, Longitud: 26.1862861, Latitud: 50.5443723
133.164.217.167, Longitud: 36.2049798, Latitud: 44.0121956
26.197.216.59, Longitud: 44.6287701, Latitud: 5.0827978
109.69.235.110, Longitud: 36.1890938, Latitud: 44.0136517
213.111.42.244, Longitud: 35.5678245, Latitud: 45.3977088
