0,1,2,3,4
35001,"Shimoga,",Rajasthan,,
35002,"Raichur,",Sikkim,,
35003,"Muzaffarnagar,",Punjab,,
35004,"Bareilly,",Meghalaya,,
35005,"Imphal,",Meghalaya,,
35007,"Dehradun,",Chhattisgarh,,
35008,"Amaravati,",Sikkim,,
35009,"Farrukhabad,",Jharkhand,,
35010,"Aurangabad,",Assam,,
35011,"Varanasi,",Jharkhand,,
35012,"Rampur,",Maharashtra,21.281625,79.626577
35013,"Davanagere,",Haryana,,
35014,"Jalna,",Goa,,
35015,"Begusarai,",Manipur,,
35017,"Mysore,",Rajasthan,,
35018,"Rewa,",Manipur,24.948278,81.402552
35019,"Bhavnagar,",Haryana,,
35021,"Durgapur,",Telangana,19.38764,78.802047
35022,"Anantapur,",Uttarakhand,,
35023,"Tadepalligudem,",Gujarat,,
35024,"Ambarnath,",Meghalaya,,
35026,"Bikaner,",Mizoram,,
35027,"Munger,",Meghalaya,,
35028,"Dhule,",Tripura,,
35030,"Malegaon,",Kerala,,
35031,"Karimnagar,",Punjab,,
35033,"Firozabad,",Gujarat,,
35034,"Nanded,",Telangana,,
35035,"Vadodara,",Manipur,,
35036,"Kadapa,",Mizoram,,
35037,"Dhule,",Maharashtra,21.130522,74.490061
35039,"Solapur,",Odisha,,
35041,"Raichur,",Meghalaya,,
35042,"Sonipat,",Rajasthan,,
35043,"Kadapa,",Mizoram,,
35045,"Kishanganj,",Kerala,,
35046,"Kota,",Uttarakhand,29.672887,79.883405
35048,"Lucknow,",Manipur,,
35049,"Nashik,",Tripura,,
35051,"Siwan,",Punjab,29.95974,76.206416
35052,"Sambalpur,",Gujarat,,
35053,"Kharagpur,",Kerala,,
35054,"Sikar,",Karnataka,,
35055,"Pune,",Tripura,,
35056,"Giridih,",Tripura,,
35057,"Tadepalligudem,",Bihar,,
35058,"Phusro,",Maharashtra,,
35060,"Anand,",Sikkim,27.231731,88.497854
35062,"Sagar,",Punjab,32.628609,74.5338
35063,"Kota,",Chhattisgarh,22.295916,82.023947
35066,"Akola,",Bihar,,
35067,"Aurangabad,",Odisha,,
35068,"Tirupati,",Maharashtra,19.406599,72.863665
35070,"Darbhanga,",Telangana,,
35071,"Ahmednagar,",Gujarat,,
35073,"Anand,",Mizoram,,
35075,"Gandhinagar,",Telangana,17.862399,79.712216
35076,"Ahmednagar,",Goa,18.951308,74.521941
35077,"Rajahmundry,",Rajasthan,,
35078,"Solapur,",Telangana,15.978195,77.762929
35079,"Nagercoil,",Uttarakhand,,
35080,"Bally,",Bihar,,
35082,"Purnia,",Sikkim,,
35083,"Kishanganj,",Kerala,,
35084,"Baranagar,",Jharkhand,,
35086,"Rohtak,",Mizoram,,
35088,"Gandhinagar,",Manipur,,
35090,"Jalgaon,",Manipur,,
35091,"Dewas,",Uttarakhand,,
35092,"Deoghar,",Karnataka,,
35093,"Bangalore,",Manipur,,
35094,"Gopalpur,",Chhattisgarh,21.288375,82.559037
35095,"Meerut,",Assam,,
35096,"Secunderabad,",Jharkhand,,
35097,"Katihar,",Uttarakhand,,
35098,"Hosur,",Chhattisgarh,,
35100,"Gandhidham,",Manipur,,
35101,"Hajipur,",Manipur,,
35102,"Vijayawada,",Goa,,
35105,"Morbi,",Maharashtra,19.175932,72.956353
35106,"Guntur,",Sikkim,,
35107,"Ongole,",Assam,,
35109,"Kolhapur,",Haryana,,
35111,"Morena,",Chhattisgarh,,
35113,"Hosur,",Assam,,
35114,"Thrissur,",Kerala,10.52701,76.214621
35115,"Khammam,",Jharkhand,,
35116,"Shahjahanpur,",Telangana,,
35117,"Jaipur,",Meghalaya,,
35118,"Gopalpur,",Rajasthan,26.479255,76.969871
35119,"Alappuzha,",Gujarat,,
35121,"Bellary,",Odisha,,
35122,"Alwar,",Kerala,,
35123,"Amritsar,",Goa,,
35124,"Kakinada,",Sikkim,,
35125,"Lucknow,",Jharkhand,,
35128,"Jehanabad,",Chhattisgarh,,
35129,"Mathura,",Punjab,27.688344,77.519766
35130,"Ulhasnagar,",Jharkhand,,
35131,"Mango,",Maharashtra,19.130781,72.819802
35132,"Gaya,",Chhattisgarh,,
35133,"Kulti,",Tripura,,
35134,"Aurangabad,",Mizoram,,
35137,"Bettiah,",Rajasthan,,
35138,"Rajahmundry,",Telangana,,
35139,"Haridwar,",Uttarakhand,29.938447,78.145298
35140,"Muzaffarpur,",Chhattisgarh,,
35141,"Ranchi,",Sikkim,,
35142,"Sasaram,",Nagaland,,
35143,"Thoothukudi,",Goa,,
35145,"Katni,",Maharashtra,,
35146,"Meerut,",Mizoram,,
35148,"Vasai-Virar,",Uttarakhand,,
35149,"Chandigarh,",Karnataka,,
35150,"Howrah,",Punjab,,
35151,"Kolhapur,",Haryana,,
35152,"Maheshtala,",Meghalaya,,
35153,"Unnao,",Kerala,,
35154,"Satna,",Mizoram,,
35155,"Arrah,",Gujarat,,
35157,"Begusarai,",Sikkim,,
35158,"Bhagalpur,",Odisha,,
35159,"Tirunelveli,",Punjab,,
35161,"Junagadh,",Tripura,,
35162,"Jamalpur,",Uttarakhand,,
35163,"Vasai-Virar,",Nagaland,,
35164,"Akola,",Odisha,,
35165,"Thanjavur,",Meghalaya,,
35166,"Amritsar,",Mizoram,,
35167,"Chandigarh,",Telangana,,
35168,"Rajkot,",Mizoram,,
35169,"Imphal,",Manipur,24.799116,93.936442
35170,"Bhiwandi,",Haryana,,
35171,"Pondicherry,",Gujarat,,
35173,"Loni,",Assam,,
35174,"Davanagere,",Chhattisgarh,,
35175,"Chittoor,",Kerala,10.033641,76.274049
35176,"Kozhikode,",Telangana,,
35177,"Barasat,",Gujarat,,
35178,"Salem,",Nagaland,,
35179,"Rohtak,",Uttarakhand,,
35180,"Bhiwani,",Manipur,,
35181,"Sikar,",Meghalaya,,
35182,"Bhubaneswar,",Haryana,,
35184,"Aurangabad,",Tripura,,
35185,"Ballia,",Meghalaya,,
35187,"Srikakulam,",Goa,,
35188,"Gopalpur,",Bihar,25.309464,87.207873
35189,"Rajahmundry,",Assam,,
35190,"Panchkula,",Gujarat,,
35191,"Cuttack,",Manipur,,
35192,"Khammam,",Assam,,
35193,"Jabalpur,",Goa,,
35194,"Thanjavur,",Telangana,,
35197,"Amritsar,",Haryana,29.503095,74.705276
35199,"Satna,",Chhattisgarh,,
35200,"Bhubaneswar,",Bihar,,
35201,"Dharmavaram,",Bihar,,
35202,"Srinagar,",Sikkim,,
35203,"Ahmednagar,",Karnataka,,
35206,"Kumbakonam,",Sikkim,,
35207,"Gulbarga,",Uttarakhand,,
35208,"Bijapur,",Bihar,,
35209,"Bhatpara,",Haryana,,
35210,"Kalyan-Dombivli,",Odisha,,
35211,"Phusro,",Nagaland,,
35212,"Kharagpur,",Maharashtra,,
35213,"Muzaffarpur,",Punjab,31.044422,76.226063
35214,"Kottayam,",Karnataka,12.914371,77.638286
35216,"Ongole,",Mizoram,,
35217,"Sikar,",Haryana,,
35221,"Pallavaram,",Assam,,
35222,"Chandigarh,",Bihar,,
35223,"Malda,",Manipur,,
35224,"Kadapa,",Odisha,,
35225,"Bhiwandi,",Kerala,,
35227,"Phusro,",Chhattisgarh,,
35233,"Shahjahanpur,",Telangana,,
